Min_IT_Loan_ID__c,Opp_Number__c,Id,AccountID,Number_Of_Loans_Granted__c,Num_Of_Loans_Paid__c,Purpose_of_Loan__c,Total_Repayments__c,Amount,Term_in_Weeks__c,Payment_Frequency__c,StageName,Applicant Age,userId,loanId,count,LoanIdFormat
917086.0,5147774.0,0062x00000Dr7o6AAB,0012x00000IMHksAAH,8.0,6.0,Vehicle Expenses,10.0,2050.0,19.143,Fortnightly,Loan Paid,40.0,4331,6953,1.0,1
908169.0,5061612.0,0062x00000DYwSGAA1,0012x00000SIDYKAA5,10.0,5.0,Vehicle Expenses,8.0,2050.0,16.0,Fortnightly,Loan Paid,27.0,3108,4336,0.0,1
5166061.0,5630112.0,0062x00000E5CI5AAN,0012x00000hYT2nAAG,6.0,3.0,Other Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,64.0,7755,7534,0.0,1
989064.0,5833944.0,0062x00000E7c9ZAAR,0012x00000hYOEaAAO,8.0,3.0,Medical Expenses,8.0,2050.0,15.143,Fortnightly,Loan Paid,35.0,8563,7307,0.0,1
5168038.0,5986135.0,0062x00000EE2QpAAL,0012x00000hX65AAAS,6.0,3.0,Medical Expenses,8.0,2050.0,15.571,Fortnightly,Loan Paid,49.0,8388,8923,0.0,1
1010438.0,6253011.0,0062x00000EOMmRAAX,0012x00000hX24LAAS,6.0,3.0,Vehicle Expenses,8.0,2050.0,15.857,Fortnightly,Loan Paid,45.0,7349,7725,0.0,1
912402.0,5105400.0,0062x00000DZexPAAT,0012800001SDU3DAAX,62.0,59.0,Vehicle Expenses,3.0,2000.0,5.857,Fortnightly,Loan Paid,50.0,2376,9162,5.0,1
990798.0,5863886.0,0062x00000ECEizAAH,0012800001SDTJgAAP,58.0,55.0,Veterinary Expenses,8.0,2050.0,14.714,Fortnightly,Loan Paid,40.0,5101,2866,5.0,1
853230.0,4595560.0,0062x00000D9j1DAAR,0012800001VofatAAB,50.0,48.0,Home Maintenance & Repairs,7.0,1300.0,14.143,Fortnightly,Loan Paid,35.0,7081,5867,4.0,1
1011646.0,6277685.0,0062x00000EbDlxAAF,0012800001SDU9yAAH,50.0,47.0,Travel Expenses,10.0,1500.0,19.429,Fortnightly,Loan Paid,51.0,1018,6648,4.0,1
925954.0,5244059.0,0062x00000DsUWAAA3,0012800001SDULPAA5,48.0,46.0,Travel Expenses,8.0,2050.0,15.0,Fortnightly,Loan Paid,41.0,8331,3648,4.0,1
931763.0,5321019.0,0062x00000DtVn0AAF,0012800001SDUE7AAP,48.0,45.0,Life Event Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,62.0,6299,7353,4.0,1
927036.0,5253618.0,0062x00000Dse1vAAB,0012800001SDU9yAAH,50.0,44.0,Furniture or Appliances,8.0,2050.0,15.857,Fortnightly,Loan Paid,51.0,1018,4922,3.0,1
881922.0,4815791.0,0062x00000DI5G1AAL,0012800001MwUDDAA3,47.0,44.0,Other Expenses,7.0,1900.0,13.429,Fortnightly,Loan Paid,64.0,7184,7677,4.0,1
947412.0,5551468.0,0062x00000E4E7wAAF,0010K00001feCQ6QAM,46.0,43.0,Life Event Expenses,7.0,1400.0,13.857,Fortnightly,Loan Paid,25.0,2290,3999,4.0,1
5161932.0,5227576.0,0062x00000DsD8XAAV,0010K0000242mNcQAI,45.0,43.0,Vehicle Expenses,7.0,2000.0,14.143,Fortnightly,Loan Paid,56.0,7024,10239,4.0,1
924669.0,5228963.0,0062x00000DsF4DAAV,0012800001SDU4qAAH,44.0,43.0,Veterinary Expenses,8.0,2050.0,16.429,Fortnightly,Loan Paid,44.0,7451,4351,4.0,1
854826.0,4607715.0,0062x00000D9zJPAAZ,0012800001SDU9yAAH,50.0,42.0,Vehicle Expenses,7.0,1900.0,13.857,Fortnightly,Loan Paid,51.0,1018,3379,3.0,1
899660.0,4977140.0,0062x00000DXVA8AAP,0010K00001feCQ6QAM,46.0,42.0,Living Expenses,7.0,1500.0,13.714,Fortnightly,Loan Paid,25.0,2290,9692,3.0,1
986923.0,5771378.0,0062x00000E6pbqAAB,0012800001SDU1MAAX,43.0,41.0,Furniture or Appliances,8.0,2050.0,15.857,Fortnightly,Loan Paid,51.0,8015,3432,3.0,1
867748.0,4699668.0,0062x00000DG2QXAA1,0010K00001y2gvTQAQ,42.0,40.0,Vehicle Expenses,8.0,1300.0,15.0,Fortnightly,Loan Paid,66.0,6625,9567,3.0,1
1003836.0,6119515.0,0062x00000EMeeaAAD,0010K00001exDWJQA2,42.0,40.0,Living Expenses,8.0,2050.0,15.714,Fortnightly,Loan Paid,51.0,446,3040,3.0,1
